date,country,yield3M,yield10Y
2017-03-01,Australia,0.015,0.02804
2017-04-01,Australia,0.015,0.02557
2017-05-01,Australia,0.015,0.02548
2017-06-01,Australia,0.015,0.02421
2017-07-01,Australia,0.015,0.02664
2017-08-01,Australia,0.015,0.02626
2017-09-01,Australia,0.015,0.0271
2017-10-01,Australia,0.015,0.027679999999999996
2017-11-01,Australia,0.015,0.02565
2017-12-01,Australia,0.015,0.025830000000000002
2018-01-01,Australia,0.015,0.027469999999999998
2018-02-01,Australia,0.015,0.028450000000000003
2018-03-01,Australia,0.015,0.02713
2018-04-01,Australia,0.015,0.02734
2018-05-01,Australia,0.015,0.0279
2018-06-01,Australia,0.015,0.02697
2018-07-01,Australia,0.015,0.02637
2018-08-01,Australia,0.015,0.0259
2018-09-01,Australia,0.015,0.026309999999999997
2018-10-01,Australia,0.015,0.02682
2018-11-01,Australia,0.015,0.02683
2018-12-01,Australia,0.015,0.024310000000000002
2019-01-01,Australia,0.015,0.022709999999999998
2019-02-01,Australia,0.015,0.021259999999999998
2019-03-01,Australia,0.015,0.01957
2019-04-01,Australia,0.015,0.01865
2019-05-01,Australia,0.015,0.01655
2019-06-01,Australia,0.0128,0.013859999999999999
2019-07-01,Australia,0.0102,0.0132
2019-08-01,Australia,0.01,0.00959
2019-09-01,Australia,0.01,0.01035
2019-10-01,Australia,0.0076,0.010369999999999999
2019-11-01,Australia,0.0075,0.011519999999999999
2019-12-01,Australia,0.0075,0.01202
2020-01-01,Australia,0.0075,0.01159
2020-02-01,Australia,0.0075,0.00984
2020-03-01,Australia,0.0043,0.00884
2020-04-01,Australia,0.0025,0.008539999999999999
2020-05-01,Australia,0.0025,0.00903
2020-06-01,Australia,0.0025,0.00928
2020-07-01,Australia,0.0025,0.00897
2020-08-01,Australia,0.0025,0.00905
2020-09-01,Australia,0.0025,0.00894
2020-10-01,Australia,0.0025,0.008020000000000001
2020-11-01,Australia,0.0011,0.00856
